"Arquivo","Encoding","TamanhoBytes"
".agent\frontend-design\LICENSE.txt","ASCII","10351"
".agent\frontend-design\SKILL.md","ASCII","4482"
".agent\mcp-builder\LICENSE.txt","ASCII","11558"
".agent\mcp-builder\reference\evaluation.md","ASCII","22272"
".agent\mcp-builder\reference\mcp_best_practices.md","ASCII","7579"
".agent\mcp-builder\reference\node_mcp_server.md","ASCII","29675"
".agent\mcp-builder\reference\python_mcp_server.md","ASCII","25817"
".agent\mcp-builder\scripts\connections.py","ASCII","5026"
".agent\mcp-builder\scripts\evaluation.py","ASCII","12984"
".agent\mcp-builder\scripts\example_evaluation.xml","ASCII","1226"
".agent\mcp-builder\scripts\requirements.txt","ASCII","31"
".agent\mcp-builder\SKILL.md","ASCII","9375"
".agent\skill-creator\agents\analyzer.md","ASCII","10660"
".agent\skill-creator\agents\comparator.md","ASCII","7501"
".agent\skill-creator\agents\grader.md","ASCII","9263"
".agent\skill-creator\assets\eval_review.html","ASCII","7204"
".agent\skill-creator\eval-viewer\generate_review.py","ASCII","16966"
".agent\skill-creator\eval-viewer\viewer.html","ASCII","46317"
".agent\skill-creator\LICENSE.txt","ASCII","11558"
".agent\skill-creator\references\schemas.md","ASCII","12495"
".agent\skill-creator\scripts\__init__.py","ASCII","0"
".agent\skill-creator\scripts\aggregate_benchmark.py","ASCII","14979"
".agent\skill-creator\scripts\generate_report.py","ASCII","13188"
".agent\skill-creator\scripts\improve_description.py","ASCII","11359"
".agent\skill-creator\scripts\package_skill.py","ASCII","4406"
".agent\skill-creator\scripts\quick_validate.py","ASCII","4074"
".agent\skill-creator\scripts\run_eval.py","ASCII","11774"
".agent\skill-creator\scripts\run_loop.py","ASCII","13933"
".agent\skill-creator\scripts\utils.py","ASCII","1708"
".agent\skill-creator\SKILL.md","ASCII","33793"
".agent\webapp-testing\examples\console_logging.py","ASCII","1061"
".agent\webapp-testing\examples\element_discovery.py","ASCII","1502"
".agent\webapp-testing\examples\static_html_automation.py","ASCII","985"
".agent\webapp-testing\LICENSE.txt","ASCII","11558"
".agent\webapp-testing\scripts\with_server.py","ASCII","3798"
".agent\webapp-testing\SKILL.md","ASCII","4112"
".agent\web-artifacts-builder\LICENSE.txt","ASCII","11558"
".agent\web-artifacts-builder\scripts\bundle-artifact.sh","ASCII","1610"
".agent\web-artifacts-builder\scripts\init-artifact.sh","ASCII","10336"
".agent\web-artifacts-builder\scripts\shadcn-components.tar.gz","Binary / unsupported","19967"
".agent\web-artifacts-builder\SKILL.md","ASCII","3188"
".gitignore","ASCII","159"
".tgitconfig","ASCII","0"
"Audit\Bridge.Audit.Controller.pas","ASCII","1068"
"Audit\Bridge.Audit.Entity.pas","ASCII","1488"
"Audit\Bridge.Audit.Model.pas","ASCII","501"
"Audit\Bridge.Audit.pas","ASCII","3189"
"boss.json","ASCII","199"
"boss-lock.json","ASCII","935"
"BridgeFrameWork.dpk","ASCII","8927"
"BridgeFrameWork.dproj","ASCII","60596"
"BridgeFrameWork.identcache","Binary / unsupported","152632"
"BridgeFrameWork.res","Binary / unsupported","96"
"Classes\Bridge.FastRtti.pas","ASCII","12259"
"Classes\Bridge.Horse.Pagination.pas","ASCII","9901"
"Classes\Bridge.Lazy.pas","ASCII","5766"
"Classes\Bridge.LazyObjectList.pas","ASCII","7271"
"Classes\Bridge.Neon.Config.pas","ASCII","17368"
"Classes\Bridge.ResponseProtection.pas","ASCII","21700"
"Classes\Bridge.RttiHelper.pas","ASCII","8581"
"Connection\Bridge.Connection.Base.pas","ASCII","16398"
"Connection\Bridge.Connection.Data.pas","ASCII","3696"
"Connection\Bridge.Connection.Factory.pas","ASCII","3018"
"Connection\Bridge.Connection.Firebird.pas","ASCII","4698"
"Connection\Bridge.Connection.Generator.Base.pas","ASCII","9671"
"Connection\Bridge.Connection.Generator.Firebird.pas","ASCII","2082"
"Connection\Bridge.Connection.Generator.Interfaces.pas","ASCII","2168"
"Connection\Bridge.Connection.Generator.MySQL.pas","ASCII","774"
"Connection\Bridge.Connection.Generator.Oracle.pas","ASCII","191"
"Connection\Bridge.Connection.Generator.Postgres.pas","ASCII","1537"
"Connection\Bridge.Connection.Generator.SQLite.pas","ASCII","394"
"Connection\Bridge.Connection.Generator.SQLServer.pas","ASCII","2102"
"Connection\Bridge.Connection.Interfaces.pas","ASCII","14196"
"Connection\Bridge.Connection.Log.Manager.pas","ASCII","8898"
"Connection\Bridge.Connection.Log.Provider.pas","ASCII","2376"
"Connection\Bridge.Connection.MySQL.pas","ASCII","4557"
"Connection\Bridge.Connection.Oracle.pas","ASCII","6312"
"Connection\Bridge.Connection.Pool.pas","ASCII","3635"
"Connection\Bridge.Connection.Postgres.pas","ASCII","4573"
"Connection\Bridge.Connection.Singleton.pas","ASCII","1014"
"Connection\Bridge.Connection.SQLite.pas","ASCII","4306"
"Connection\Bridge.Connection.SQLServer.pas","ASCII","6073"
"Connection\Bridge.Connection.Types.pas","ASCII","6212"
"Connection\Bridge.Connection.Utils.pas","ASCII","11908"
"Connection\Bridge.Driver.Config.pas","ASCII","5052"
"Controller\Bridge.Async.Controller.pas","ASCII","13673"
"Controller\Bridge.Base.Controller.pas","ASCII","30963"
"Controller\Bridge.Controller.Errors.pas","ASCII","1302"
"Controller\Bridge.Controller.Helper.pas","ASCII","10716"
"Controller\Bridge.Controller.Interfaces.pas","ASCII","10469"
"Controller\Bridge.Controller.QueryBuilder.pas","ASCII","5063"
"Controller\Bridge.Controller.Registry.pas","ASCII","4298"
"Controller\Bridge.Rest.Controller.pas","ASCII","22346"
"dcu\BridgeFrameWork.a","Binary / unsupported","30238906"
"hooks\pre-commit","ASCII","1397"
"install_hooks.bat","ASCII","108"
"MetaData\Bridge.MetaData.Attributes.pas","ASCII","12444"
